,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
0,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 00:00:00,21.0,,0,0,0,0,0,0,0
1,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 01:00:00,20.0,,0,0,0,0,0,0,0
2,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 02:00:00,20.0,,0,0,0,0,0,0,0
3,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 03:00:00,20.0,,20,0,0,0,0,0,0
4,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 04:00:00,20.0,,20,0,0,0,0,0,0
5,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 05:00:00,20.0,,22,0,0,0,0,0,0
6,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 06:00:00,19.0,,22,0,0,0,0,0,0
7,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 07:00:00,20.0,,22,0,0,0,0,0,0
8,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 08:00:00,20.0,,22,0,0,0,0,0,0
9,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 09:00:00,20.0,,22,0,0,0,0,0,0
10,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 10:00:00,20.0,,22,0,0,0,0,0,0
11,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 11:00:00,20.0,,22,0,0,0,0,0,0
12,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 12:00:00,20.0,,22,0,0,0,0,0,0
13,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 13:00:00,20.0,,22,0,0,0,0,0,0
14,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 14:00:00,20.0,,22,0,0,0,0,0,0
15,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 15:00:00,22.0,,22,0,0,0,0,0,0
16,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 16:00:00,22.0,,22,0,0,0,0,0,0
17,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 17:00:00,24.0,,22,0,0,0,0,0,0
18,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 18:00:00,24.0,,22,0,0,0,0,0,0
19,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-10 19:00:00,26.0,,22,0,0,0,0,0,0
